"nro","latitud","longitud"
335,-38.52,-57.58
336,-38.22,-57.03
337,-37.95,-56.72
338,-37.93,-56.72
339,-38.07,-56.8
340,-38.15,-56.88
341,-38.17,-56.88
342,-38.23,-57.07
343,-38.43,-57.42
344,-38.63,-57.77
345,-38.6,-57.68
346,-38.6,-57.77
347,-38.53,-57.52
348,-39.65,-57.73
349,-38.72,-57.9
350,-38.53,-57.48
351,-38.57,-57.37
352,-38.33,-57.2
353,-38.22,-57.02
354,-38.28,-57.08
355,-38.53,-57.38
356,-38.47,-57.45
357,-38.45,-57.43
358,-39.92,-59.26
359,-39.66,-59.17
360,-39.55,-58.96
361,-39.68,-59.13
362,-38.42,-57.37
363,-38.7,-57.77
364,-38.68,-57.77
365,-38.67,-57.73
366,-38.43,-57.32
367,-38.65,-57.58
368,-38.75,-57.82
369,-38.73,-57.72
370,-38.48,-57.32
371,-38.73,-57.75
372,-38.73,-57.75
373,-38.92,-58.12
374,-39.02,-58.27
375,-39.08,-58.35
376,-39.08,-58.35
377,-39.37,-59.28
378,-39.43,-59.32
379,-39.42,-59.32
380,-39.32,-57.2
381,-39.35,-59.25
382,-39.37,-59.3
383,-39.65,-59.47
384,-38.95,-58.23
385,-38.78,-58.17
386,-36.63,-53.4
387,-36.63,-53.35
388,-38.82,-58.15
389,-38.78,-58.12
390,-36.65,-53.4
391,-36.67,-53.27
392,-36.82,-53.28
393,-36.82,-53.3
394,-38.8,-53.3
395,-36.68,-53.17
396,-38.77,-58.15
397,-36.68,-53.27
398,-36.77,-53.82
399,-36.8,-53.9
400,-36.8,-53.8
401,-36.8,-53.53
402,-36.82,-53.4
403,-39,-58.45
404,-36.83,-53.43
405,-36.8,-53.32
406,-39.05,-58.48
407,-37.12,-53.52
408,-37.15,-53.5
409,-37.22,-53.35
410,-37.23,-53.35
411,-37.17,-53.38
412,-37.23,-53.33
413,-37.17,-53.43
414,-37.17,-53.42
415,-39.05,-58.47
416,-37.92,-54.07
417,-37.97,-54.08
418,-37.97,-54
419,-38.03,-53.9
420,-37.98,-54
421,-37.93,-54.07
422,-37.92,-54.17
423,-37.97,-54.1
424,-39.75,-55.8
425,-39.75,-55.78
426,-39.76,-55.77
427,-39.77,-55.74
428,-39.82,-55.71
429,-39.79,-55.7
430,-39.75,-55.66
431,-39.72,-55.62
432,-39.69,-55.6
433,-39.25,-59.02
434,-38.03,-53.9
435,-37.97,-54.02
436,-37.95,-54.03
437,-37.95,-54.07
438,-37.85,-54
439,-37.98,-53.45
440,-37.92,-53.08
441,-39.65,-55.56
442,-39.62,-55.51
443,-39.59,-55.45
444,-39.54,-55.42
445,-39.51,-55.43
446,-39.47,-55.47
447,-39.35,-59.28
448,-37.97,-54.02
449,-37.88,-54.18
450,-37.92,-54.13
451,-37.9,-54.07
452,-39.26,-55.02
453,-39.24,-54.99
454,-39.23,-54.96
455,-39.23,-54.98
456,-39.21,-54.99
457,-39.19,-54.99
458,-39.15,-55
459,-39.16,-55.02
460,-38.68,-54.02
461,-38.78,-54.03
462,-38.8,-54.05
463,-38.63,-54.85
464,-38.62,-54.92
465,-38.6,-54.83
466,-38.57,-54.93
467,-38.57,-54.93
468,-39.33,-59.23
469,-37.87,-54
470,-37.98,-54
471,-37.97,-54.08
472,-37.92,-54.08
473,-37.95,-54.03
474,-37.61,-53.72
475,-37.6,-53.69
476,-37.61,-53.68
477,-37.57,-53.6
478,-37.59,-53.67
479,-37.59,-53.66
480,-38.55,-54.83
481,-38.55,-54.9
482,-38.53,-54.7
483,-38.52,-54.85
484,-38.52,-54.75
485,-39.4,-59.28
486,-37.93,-54.12
487,-37.85,-54
488,-37.98,-54
489,-37.93,-54.05
490,-37.93,-54.08
491,-37.87,-54.08
492,-37.57,-53.57
493,-37.58,-53.67
494,-37.57,-53.62
495,-37.62,-53.67
496,-37.22,-53.35
497,-37.23,-53.5
498,-37.32,-53.33
499,-37.2,-53.37
500,-37.2,-53.42
501,-37.18,-53.43
502,-39.52,-59.4
503,-37.93,-54.12
504,-37.85,-54
505,-37.95,-54
506,-37.93,-54.1
507,-37.93,-54.07
508,-37.59,-53.56
509,-37.59,-53.57
510,-37.63,-53.67
511,-37.63,-53.7
512,-37.64,-53.65
513,-37.59,-53.58
514,-37.59,-53.59
515,-37.2,-53.45
516,-37.18,-53.43
517,-37.2,-53.43
518,-37.25,-53.4
519,-38,-53.08
520,-38.9,-54.28
521,-37.87,-54.3
522,-37.85,-54.27
523,-37.62,-53.69
524,-37.64,-53.66
525,-37.63,-53.67
526,-37.59,-53.58
527,-37.59,-53.59
528,-37.62,-53.69
529,-37.23,-53.38
530,-37.18,-53.57
531,-37.18,-53.6
532,-37.2,-53.43
533,-37.82,-53.72
534,-37.78,-53.68
535,-37.85,-53.8
536,-37.82,-53.78
537,-38,-54.05
538,-38,-53.08
539,-38,-53.12
540,-38.85,-54.23
541,-38.88,-53.2
542,-37.82,-54.03
543,-38,-54.12
544,-37.59,-53.67
545,-37.65,-53.67
546,-37.59,-53.58
547,-37.59,-53.59
548,-37.62,-54.69
549,-38,-54.08
550,-38.02,-54.05
551,-38,-54
552,-38,-54.1
553,-37.95,-54.07
554,-37.98,-54.07
555,-37.57,-53.55
556,-37.57,-53.56
557,-37.59,-53.59
558,-37.18,-53.58
559,-37.13,-53.6
560,-37.18,-53.62
561,-37.18,-53.63
562,-37.18,-53.65
563,-37.17,-53.67
564,-37.17,-53.68
565,-37.18,-53.65
566,-37.09,-53.43
567,-37.09,-53.42
568,-37.1,-53.39
569,-37.04,-53.38
570,-37.18,-53.65
571,-37.18,-53.62
572,-37.15,-53.5
573,-37.17,-53.4
574,-37.17,-53.67
575,-37.17,-53.68
576,-37.15,-53.72
577,-36.63,-53.35
578,-36.67,-53.27
579,-36.82,-53.3
580,-36.67,-53.33
581,-36.63,-53.35
582,-36.8,-53.37
583,-36.67,-53.38
584,-36.63,-53.4
585,-38.21,-54.45
586,-38.21,-54.47
587,-38.22,-54.45
588,-38.2,-54.49
589,-37.17,-53.63
590,-37.17,-53.67
591,-37.17,-53.68
592,-37.15,-53.48
593,-37.17,-53.68
594,-37.17,-53.58
595,-36.82,-53.3
596,-36.63,-53.35
597,-36.85,-53.5
598,-37.03,-53.65
599,-37.05,-53.63
600,-37.07,-53.62
601,-39.14,-55.03
602,-39.14,-55.04
603,-39.16,-55.02
604,-39.14,-55.06
605,-39.14,-55.07
606,-39.14,-55.1
607,-39.15,-55.12
608,-39.14,-55.14
609,-39.43,-54.77
610,-39.44,-54.76
611,-37.17,-53.67
612,-37.17,-53.68
613,-37.12,-53.47
614,-37.2,-53.45
615,-37.17,-53.68
616,-37.17,-53.67
617,-37.15,-53.65
618,-39.45,-54.74
619,-39.44,-54.76
620,-39.42,-54.77
621,-39.42,-54.77
622,-39.74,-54.94
623,-39.66,-54.9
624,-37.2,-53.45
625,-39.6,-54.86
626,-39.59,-54.87
627,-39.5,-54.64
628,-39.5,-54.66
629,-39.72,-54.94
630,-39.64,-54.91
631,-39.61,-54.84
632,-39.6,-54.87
633,-39.82,-54.87
634,-39.81,-54.86
635,-39.49,-54.69
636,-39.49,-54.7
637,-39.37,-54.62
638,-39.37,-54.63
639,-39.62,-54.82
640,-39.62,-54.8
641,-39.62,-54.79
642,-39.63,-54.78
643,-39.62,-54.75
644,-39.39,-54.6
645,-39.37,-54.6
646,-39.36,-54.62
647,-39.37,-54.61
648,-39.37,-54.63
649,-39.36,-54.64
650,-39.34,-54.66
651,-39.36,-54.62
652,-39.37,-54.66
653,-39.34,-54.66
654,-39.84,-55.16
655,-39.82,-55.18
656,-39.82,-55.19
657,-39.8,-55.21
658,-39.8,-55.21
659,-39.84,-55.14
660,-39.82,-55.19
661,-39.79,-55.22
662,-39.77,-55.25
663,-39.76,-55.26
664,-39.74,-55.27
665,-39.72,-55.29
666,-39.6,-54.9
667,-39.64,-54.92
668,-39.92,-55.18
669,-39.92,-55.17
670,-39.88,-55.15
671,-39.36,-54.64
672,-39.37,-54.62
673,-39.37,-54.62
674,-39.38,-54.61
675,-39.39,-54.61
676,-38.8,-54.09
677,-38.95,-54.19
678,-38.87,-54.12
679,-38.82,-54.12
680,-38.79,-54.07
681,-39.62,-54.92
682,-39.57,-54.89
683,-39.56,-54.89
684,-39.12,-54.3
685,-39.18,-54.37
686,-39.38,-54.52
687,-39.3,-54.48
688,-39.3,-54.48
689,-39.37,-54.63
690,-39.47,-54.81
691,-39.46,-54.82
692,-36.63,-53.38
693,-36.63,-53.37
694,-36.63,-53.33
695,-36.7,-53.3
696,-36.82,-53.32
697,-36.82,-53.3
698,-36.53,-52.97
699,-36.38,-52.85
700,-36.42,-52.88
701,-36.35,-52.78
702,-36.53,-52.98
703,-36.38,-52.87
704,-36.32,-52.78
705,-36.57,-52.95
706,-36.56,-52.97
707,-36.38,-52.85
708,-36.53,-52.98
709,-36.32,-52.78
710,-36.53,-52.97
711,-36.53,-52.98
712,-36.32,-52.77
713,-36.6,-52.95
714,-36.58,-52.97
715,-36.82,-53.32
716,-36.9,-53.4
717,-36.97,-53.54
718,-36.98,-53.33
719,-37.22,-53.45
720,-37.22,-53.53
721,-37.2,-53.58
722,-36.53,-52.98
723,-36.53,-52.97
724,-36.4,-52.85
725,-36.4,-52.83
726,-37.62,-53.68
727,-37.58,-53.6
728,-37.62,-53.7
729,-37.75,-53.67
730,-39.38,-54.73
731,-39.33,-54.62
732,-39.43,-54.82
733,-39.37,-54.77
734,-39.43,-54.83
735,-39.45,-54.83
736,-39.47,-54.82
737,-39.48,-54.85
738,-37.87,-54.3
739,-37.83,-54.22
740,-37.87,-54.2
741,-37.88,-54.2
742,-37.9,-54.18
743,-37.88,-54.2
744,-37.87,-54.22
745,-38,-54.1
746,-37.9,-54.2
747,-37.88,-54.2
748,-37.9,-54.18
749,-37.02,-54.1
750,-38.02,-54.08
751,-38,-54.12
752,-38,-54
753,-36.53,-52.97
754,-36.53,-52.98
755,-36.4,-52.85
756,-37.85,-53.78
757,-37.87,-53.8
758,-37.87,-54.05
759,-37.9,-54.18
760,-37.88,-54.18
761,-37.9,-54.18
762,-37.98,-54.1
763,-37.98,-54.07
764,-39.47,-54.82
765,-39.42,-54.76
766,-39.33,-54.91
767,-39.38,-54.62
768,-39.37,-54.63
769,-36.4,-52.85
770,-36.32,-52.77
771,-36.56,-53
772,-36.54,-53.04
773,-37.97,-54.08
774,-39.39,-54.51
775,-39.49,-54.67
776,-39.48,-54.79
777,-39.46,-54.8
778,-39.4,-54.54
779,-39.49,-54.66
780,-39.52,-54.67
781,-39.48,-54.77
782,-39.16,-54.29
783,-39.14,-54.31
784,-39.4,-54.5
785,-39.49,-54.7
786,-39.51,-54.64
787,-39.38,-54.52
788,-39.33,-54.46
789,-39.39,-54.5
790,-39.38,-54.6
791,-39.37,-54.63
792,-39.51,-54.62
793,-39.49,-54.64
794,-39.32,-54.47
795,-39.38,-54.5
796,-39.37,-54.63
797,-39.35,-54.48
798,-39.49,-54.71
799,-38.85,-54.13
800,-38.82,-54.1
801,-39.89,-55.17
802,-39.85,-55.17
803,-39.85,-55.07
804,-39.62,-54.78
805,-39.42,-54.77
806,-39.42,-54.77
807,-39.4,-54.8
808,-39.4,-54.82
809,-39.38,-54.82
810,-39.37,-54.82
811,-39.35,-54.83
812,-39.35,-54.85
813,-39.32,-54.83
814,-39.32,-54.87
815,-39.32,-54.92
816,-39.4,-54.8
817,-39.4,-54.82
818,-39.48,-54.75
819,-39.5,-54.68
820,-39.52,-54.67
821,-39.5,-54.7
822,-39.5,-54.75
823,-39.87,-55.07
824,-39.87,-55.1
825,-39.9,-55.18
826,-39.9,-55.15
827,-39.88,-55.12
828,-39.87,-55.05
829,-39.87,-55.12
830,-39.83,-55.2
831,-39.65,-55.33
832,-39.72,-55.3
833,-39.75,-55.28
834,-39.62,-55.37
835,-39.63,-55.37
836,-39.65,-55.37
837,-39.67,-55.3
838,-39.67,-55.35
839,-39.65,-55.3
840,-37.93,-54.08
841,-37.85,-54.12
842,-37.83,-54.08
843,-37.93,-54.08
844,-37.9,-54.2
845,-37.85,-54.17
846,-37.93,-54.03
847,-37.93,-54.05
848,-36.52,-52.97
849,-36.37,-52.83
850,-36.28,-52.75
851,-37.85,-54.12
852,-37.83,-54.13
853,-37.93,-54.07
854,-37.85,-54.12
855,-37.87,-54.1
856,-37.82,-54.02
857,-37.93,-54.07
858,-37.87,-54.12
859,-37.88,-54.1
860,-37.87,-54.02
861,-38.02,-54.07
862,-37.92,-54.08
863,-37.92,-54.15
864,-37.87,-53.97
865,-37.93,-54.08
866,-37.9,-54.18
867,-37.87,-53.83
868,-37.93,-54.05
869,-37.87,-54.03
870,-37.88,-53.85
871,-37.9,-54.2
872,-37.88,-53.97
873,-37.87,-54.22
874,-37.92,-54.18
875,-37.88,-53.92
876,-37.88,-53.98
877,-37.93,-54.18
878,-37.85,-53.93
879,-37.85,-53.92
880,-37.83,-54
881,-37.9,-54.2
882,-37.88,-53.97
883,-37.85,-54
884,-37.9,-54.2
885,-37.87,-53.88
886,-37.85,-53.87
887,-37.85,-54.05
888,-37.85,-54.07
889,-37.83,-53.98
890,-37.83,-53.88
891,-37.83,-53.8
892,-37.83,-54.05
893,-37.85,-53.93
894,-37.83,-54.03
895,-37.88,-54.08
896,-37.88,-54.13
897,-37.9,-54.18
898,-37.88,-54.18
899,-37.87,-54.2
900,-37.85,-53.9
901,-37.85,-53.95
902,-37.53,-53.58
903,-37.52,-53.57
904,-37.85,-54.05
905,-37.62,-53.67
906,-37.52,-53.57
907,-37.53,-53.58
908,-37.55,-53.65
909,-37.55,-53.67
910,-36.53,-52.95
911,-36.55,-52.97
912,-36.52,-52.95
913,-36.52,-52.93
914,-36.53,-52.92
915,-36.35,-52.85
916,-36.37,-52.85
917,-36.52,-52.93
918,-36.35,-52.85
919,-36.52,-52.95
920,-36.52,-52.95
921,-36.37,-52.85
922,-36.5,-52.95
923,-36.35,-52.85
924,-36.52,-52.93
925,-36.5,-52.97
926,-38.02,-54.1
927,-39.96,-57.3
928,-39.88,-57.14
929,-39.8,-56.97
930,-38.22,-54.45
931,-37.93,-54.07
932,-37.83,-54.07
933,-39.95,-57.31
934,-39.87,-57.13
935,-39.78,-56.98
936,-38.2,-54.47
937,-37.93,-54.08
938,-37.85,-53.93
939,-37.85,-53.97
940,-39.77,-56.99
941,-39.92,-57.05
942,-39.75,-57
943,-37.85,-54.12
944,-37.83,-54.13
945,-39.89,-57.05
946,-36.52,-52.95
947,-36.33,-52.83
948,-36.28,-52.77
949,-36.38,-52.83
950,-36.4,-52.82
951,-39.89,-57.07
952,-39.99,-57.13
953,-39.82,-55.72
954,-39.8,-55.72
955,-39.8,-55.73
956,-39.78,-55.75
957,-39.87,-57.11
958,-39.73,-57.05
959,-39.82,-55.72
960,-39.82,-55.73
961,-39.88,-55.2
962,-39.88,-55.17
963,-39.83,-55.02
964,-39.82,-54.93
965,-39.82,-54.9
966,-39.73,-54.88
967,-39.83,-54.88
968,-39.67,-57.05
969,-39.81,-57.11
970,-39.95,-57.16
971,-37.13,-53.48
972,-37.07,-53.45
973,-39.93,-57.18
974,-39.77,-57.12
975,-37.05,-53.47
976,-37.05,-53.4
977,-37.12,-53.43
978,-37.1,-53.5
979,-37.05,-53.37
980,-37.1,-53.3
981,-39.95,-57.15
982,-39.88,-56.98
983,-37,-53.32
984,-36.98,-53.33
985,-36.97,-53.33
986,-36.95,-53.33
987,-36.93,-53.35
988,-37.25,-53.32
989,-37.25,-53.35
990,-39.96,-57.16
991,-39.9,-56.98
992,-37.13,-53.53
993,-37.18,-53.43
994,-37.25,-53.27
995,-37.22,-53.33
996,-39.98,-57.17
997,-39.92,-56.99
998,-37.18,-53.43
999,-37.23,-53.32
1000,-37.25,-53.33
1001,-39.99,-57.15
1002,-39.93,-56.97
1003,-38.68,-54.02
1004,-38.68,-54.02
1005,-38.68,-54.1
1006,-38.75,-54.02
1007,-38.82,-54.07
1008,-39.94,-56.97
1009,-39.47,-54.6
1010,-39.6,-54.7
1011,-39.6,-54.83
1012,-39.62,-54.77
1013,-39.97,-56.97
1014,-39.3,-54.87
1015,-39.32,-54.87
1016,-39.35,-54.83
1017,-39.6,-54.7
1018,-39.33,-54.85
1019,-39.33,-54.83
1020,-39.35,-54.82
1021,-39.99,-57
1022,-36.4,-52.87
1023,-36.37,-52.73
1024,-36.4,-52.9
1025,-36.32,-52.78
1026,-36.22,-52.83
1027,-36.23,-52.8
1028,-36.4,-52.85
1029,-36.4,-52.87
1030,-36.43,-52.8
1031,-36.1,-52.62
1032,-36.1,-52.58
1033,-36.03,-52.7
1034,-36,-52.73
1035,-36,-52.6
1036,-35.48,-52.08
1037,-35.48,-52.1
1038,-39.42,-57.15
1039,-39.4,-54.5
1040,-39.3,-54.5
1041,-38,-54.07
1042,-37.95,-54.07
1043,-38,-53.98
1044,-38,-53.97
1045,-38,-53.98
1046,-38,-53.97
1047,-38,-53.93
1048,-38.05,-53.88
1049,-38.02,-53.92
1050,-38.03,-53.92
1051,-38.07,-53.83
1052,-38.07,-53.83
1053,-37.98,-54
1054,-37.98,-54.02
1055,-37.93,-54.13
1056,-37.87,-54.02
1057,-37.93,-54.05
1058,-37.6,-53.7
1059,-37.55,-53.58
1060,-37.6,-53.65
1061,-36.38,-52.87
1062,-36.38,-52.83
1063,-36.32,-52.78
1064,-36.32,-52.77
1065,-37.17,-53.33
1066,-37.17,-53.32
1067,-37.23,-53.37
1068,-37.23,-53.37
1069,-37.85,-54
1070,-37.98,-54.08
1071,-37.88,-54.07
1072,-38.17,-54.43
1073,-38.12,-54.38
1074,-38.2,-54.43
1075,-36.66,-53.28
1076,-36.65,-53.35
1077,-37.89,-54.19
1078,-38,-54.11
1079,-38.01,-54.04
1080,-38.01,-54.02
1081,-38.68,-57.28
1082,-39.66,-57.46
1083,-39.98,-57.25
1084,-39.55,-54.81
1085,-39.99,-57.24
1086,-39.79,-56.62
1087,-39.95,-57.26
1088,-39.82,-57.1
1089,-39.72,-56.72
1090,-39.7,-56.72
1091,-39.68,-56.69
1092,-39.36,-56.43
1093,-39.82,-55.75
1094,-39.82,-55.72
1095,-39.8,-55.71
1096,-39.62,-55.51
1097,-39.61,-55.37
1098,-39.62,-55.36
1099,-39.64,-56.6
1100,-39.63,-55.33
1101,-39.58,-55.44
1102,-39.57,-55.57
1103,-39.51,-55.46
1104,-39.61,-55.48
1105,-39.58,-55.44
1106,-39.69,-55.59
1107,-39.63,-56.48
1108,-38.01,-54.06
1109,-37.86,-54.05
1110,-37.86,-54.04
1111,-37.86,-53.99
1112,-37.96,-54.09
1113,-39.6,-56.57
1114,-37.86,-54.01
1115,-37.86,-54.03
1116,-37.86,-54.09
1117,-37.87,-53.97
1118,-37.85,-53.98
1119,-37.87,-53.92
1120,-37.87,-53.88
1121,-37.87,-53.87
1122,-39.99,-56.61
1123,-37.86,-53.97
1124,-37.87,-53.95
1125,-37.86,-53.85
1126,-37.86,-53.89
1127,-37.84,-53.92
1128,-39.8,-57.26
1129,-37.86,-53.83
1130,-37.85,-53.81
1131,-37.86,-53.87
1132,-37.85,-54
1133,-39.93,-57.42
1134,-37.87,-53.92
1135,-37.87,-53.94
1136,-37.87,-53.9
1137,-39.89,-57.36
1138,-39.9,-57.47
1139,-39.9,-57.34
1140,-39.33,-56.38
1141,-38.92,-56.09
1142,-38.12,-56.78
1143,-38.09,-56.84
1144,-38.42,-57.3
1145,-38.56,-57.6
1146,-38.56,-57.61
1147,-38.65,-58.22
1148,-38.73,-58.02
1149,-38.58,-57.74
1150,-39.98,-55.12
1151,-39.98,-54.88
1152,-39.93,-54.87
1153,-39.92,-54.87
1154,-39.49,-54.72
1155,-39.5,-54.68
1156,-39.42,-54.78
1157,-39.41,-54.8
1158,-39.52,-54.66
1159,-37.87,-53.9
